citekey,title,lead_author,other_authors,year,doi,journal,book
hodell.etal2003,Pleistocene Vertical Carbon Isotope and Carbonate Gradients in the South Atlantic Sector of the Southern Ocean,"Hodell, D.","Venz, K.; Charles, C.; Ninnemann, U.",2003,10.1029/2002GC000367,"Geochemistry, Geophysics, Geosystems",
holbourn.etal2002,Late Pleistocene Bryozoan Reef Mounds of the Great Australian Bight: Isotope Stratigraphy and Benthic Foraminiferal Record: LATE PLEISTOCENE BRYOZOAN REEF MOUNDS,"Holbourn, A.","Kuhnt, W.; James, N.",2002,10.1029/2001PA000643,Paleoceanography,
holbourn.etal2005,Orbitally Paced Paleoproductivity Variations in the Timor Sea and Indonesian Throughflow Variability during the Last 460 Kyr,"Holbourn, A.","Kuhnt, W.; Kawamura, H.; Jian, Z.; Grootes, P.; Erlenkeuser, H.; Xu, J.",2005,10.1029/2004pa001094,Paleoceanography,
hoogakker.etal2011,Dynamics of North Atlantic Deep Water Masses during the Holocene,"Hoogakker, B.","Chapman, M.; McCave, I.; Hillaire-Marcel, C.; Ellison, C.; Hall, I.; Telford, R.",2011,10.1029/2011pa002155,Paleoceanography,
hoogakker.etal2014,Holocene Climate Variability in the Labrador Sea,"Hoogakker, B.","McCave, I.; Elderfield, H.; Hillaire-Marcel, C.; Simstich, J.",2014,10.1144/jgs2013-097,Journal of the Geological Society,
howard.prell1994,Late Quaternary CaCO_3 Production and Preservation in the Southern Ocean: Implications for Oceanic and Atmospheric Carbon Cycling,"Howard, W.","Prell, W.",1994,10.1029/93PA03524,Paleoceanography,
huls1999,Stable Isotope Analysis on Sediment Core M35003-4,"Hüls, M.",,1999,10.1594/PANGAEA.55754,,
imbrie.etal1997,Composite Stable Isotope Data (Adjusted) for Sediment Core RC12-294 (Specmap.002),"Imbrie, J.","McIntyre, A.; Mix, A.",1997,10.1594/PANGAEA.52117,,
jennings.etal2015,"Detrital Carbonate Peaks on the Labrador Shelf, a 13- 7ka Template for Freshwater Forcing from the Hudson Strait Outlet of the Laurentide Ice Sheet into the Subpolar Gyre","Jennings, A.","Andrews, J.; Pearce, C.; Wilson, L.; Ólfasdótttir, S.",2015,10.1016/j.quascirev.2014.10.022,Quaternary Science Reviews,
johnstone.etal2014,"Calcite Saturation, Foraminiferal Test Mass, and Mg/Ca-Based Temperatures Dissolution Corrected Using XDX-A 150 Ka Record from the Western Indian Ocean","Johnstone, H.","Kiefer, T.; Elderfield, H.; Schulz, M.",2014,10.1002/2013gc004994,"Geochemistry, Geophysics, Geosystems",
jonkers.etal2015,"Deep Circulation Changes in the Central South Atlantic during the Past 145 Kyrs Reflected in a Combined 231 Pa/ 230 Th, Neodymium Isotope and Benthic C13 Record","Jonkers, L.","Zahn, R.; Thomas, A.; Henderson, G.; Abouchami, W.; François, R.; Masque, P.; Hall, I.; Bickert, T.",2015,10.1016/j.epsl.2015.03.004,Earth and Planetary Science Letters,
jonkers.etal2020,Integrating Palaeoclimate Time Series with Rich Metadata for Uncertainty Modelling: Strategy and Documentation of the PalMod 130k Marine Palaeoclimate Data Synthesis,"Jonkers, L.","Cartapanis, O.; Langner, M.; McKay, N.; Mulitza, S.; Strack, A.; Kucera, M.",2020,10.5194/essd-12-1053-2020,Earth System Science Data,
jung.etal2009,Enhanced Arabian Sea Intermediate Water Flow during Glacial North Atlantic Cold Phases,"Jung, S.","Kroon, D.; Ganssen, G.; Peeters, F.; Ganeshram, R.",2009,10.1016/j.epsl.2009.01.037,Earth and Planetary Science Letters,
jung.sarnthein2003,Stable Isotope Data of Sediment Cores GIK17049-6,"Jung, S.","Sarnthein, M.",2003,10.1594/PANGAEA.112908,,
jung.sarnthein2003a,Stable Isotope Data of Sediment Cores GIK23419-8,"Jung, S.","Sarnthein, M.",2003,10.1594/PANGAEA.112916,,
jung.sarnthein2003b,Stable Isotope Data of Sediment Cores GIK23414-9,"Jung, S.","Sarnthein, M.",2003,10.1594/PANGAEA.112911,,
jung.sarnthein2003c,Stable Isotope Data of Sediment Cores GIK23415-9,"Jung, S.","Sarnthein, M.",2003,10.1594/PANGAEA.112912,,
jung.sarnthein2003d,Stable Isotope Data of Sediment Cores GIK23418-8,"Jung, S.","Sarnthein, M.",2003,10.1594/PANGAEA.112915,,
jung.sarnthein2003e,Stable Isotope Data of Sediment Cores GIK23417-1,"Jung, S.","Sarnthein, M.",2003,10.1594/PANGAEA.112914,,
jung.sarnthein2004,Stable Isotope Data of Core GIK23416-4,"Jung, S.","Sarnthein, M.",2004,10.1594/PANGAEA.136423,,
jung1996,Wassermassenaustausch Zwischen NE-Atlantik Und Nordmeer Während Der Letzten 300.000/80.000 Jahre Im Abbild Stabiler 0- Und C-Lsotope,"Jung, S.",,1996,10.2312/reports-sfb313.1996.61,,
jung2004,Stable Isotope Analysis of Foraminifera from Sediment Core SO82_5-2,"Jung, S.",,2004,10.1594/PANGAEA.201812,,
kaiser2002,"Ozeanographie, Produktivität und Meereisverbreitung im Ochotskischen Meer während der letzten ca. 350 ka","Kaiser, A.",,2002,,,
kawamura.etal2006,Climate Variability and Land- Ocean Interactions in the Indo Pacific Warm Pool: A 460-Ka Palynological and Organic Geochemical Record from the Timor Sea,"Kawamura, H.","Holbourn, A.; Kuhnt, W.",2006,10.1016/j.marmicro.2005.09.001,Marine Micropaleontology,
keigwin2004,Radiocarbon and Stable Isotope Constraints on Last Glacial Maximum and Younger Dryas Ventilation in the Western North Atlantic,"Keigwin, L.",,2004,10.1029/2004PA001029,Paleoceanography,
kennett.etal2000,"Latest Quaternary Paleoclimatic and Radiocarbon Chronology, Hole 1017E, Southern California Margin","Kennett, J.","Roark, E.; Cannariato, K.; Ingram, B.; Tada, R.",2000,10.2973/odp.proc.sr.167.242.2000,,Proceedings of the Ocean Drilling Program Scientific Results
kiefer1998,Produktivität und Temperaturen im subtropischen Nordatlantik: zyklische und abrupte Veränderungen im späten Quartär,"Kiefer, T.",,1998,10.2312/reports-gpi.1998.90,,
knies.vogt2003,Freshwater Pulses in the Eastern Arctic Ocean during Saalian and Early Weichselian Ice-Sheet Collapse,"Knies, J.","Vogt, C.",2003,10.1016/j.yqres.2003.07.008,Quaternary Research,
koutavas.lynch-stieglitz2003,Glacial-Interglacial Dynamics of the Eastern Equatorial Pacific Cold Tongue-Intertropical Convergence Zone System Reconstructed from Oxygen Isotope Records,"Koutavas, A.","Lynch-Stieglitz, J.",2003,10.1029/2003pa000894,Paleoceanography,
kuhnt.etal2008,Stable Isotopic Composition of Holocene Benthic Foraminifers from the Eastern Mediterranean Sea: Past Changes in Productivity and Deep Water Oxygenation,"Kuhnt, T.","Schmiedl, G.; Ehrmann, W.; Hamann, Y.; Andersen, N.",2008,10.1016/j.palaeo.2008.07.010,"Palaeogeography, Palaeoclimatology, Palaeoecology",
labeyrie.etal1995,Surface and Deep Hydrology of the Northern Atlantic Ocean during the Past 150000 Years,"Labeyrie, L.","Vidal, L.; Cortijo, E.; Paterne, M.; Arnold, M.; Duplessy, J.; Vautravers, M.; Labracherie, M.; Duprat, J.; Turon, J.; Grousset, F.; Weering, T. van ; Eglinton, G.; Elderfield, H.; Whitfield, M.; Le, P.. Williams, B.",1995,10.1098/rstb.1995.0067,Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences,
labeyrie.etal1996,Hydrographic Changes of the Southern Ocean (Southeast Indian Sector) Over the Last 230 Kyr,"Labeyrie, L.","Labracherie, M.; Gorfti, N.; Pichon, J.; Vautravers, M.; Arnold, M.; Duplessy, J.-C.; Paterne, M.; Michel, E.; Duprat, J.; Caralp, M.; Turon, J.-L.",1996,10.1029/95PA02255,Paleoceanography,
labeyrie1996,Quaternary Paleoceanography: Unpublished Stable Isotope Records,"Labeyrie, L.",,1996,,,
lea.etal2006,"Paleoclimate History of Galápagos Surface Waters over the Last 135,000yr","Lea, D.","Pak, D.; Belanger, C.; Spero, H.; Hall, M.; Shackleton, N.",2006,10.1016/j.quascirev.2005.11.010,Quaternary Science Reviews,
lea2000,Climate Impact of Late Quaternary Equatorial Pacific Sea Surface Temperature Variations,"Lea, D.",,2000,10.1126/science.289.5485.1719,Science,
little.etal1997,"Rapid Palaeoceanographic Changes in the Benguela Upwelling System for the Last 160,000 Years as Indicated by Abundances of Planktonic Foraminifera","Little, M.","Schneider, R.; Kroon, D.; Price, B.; Bickert, T.; Wefer, G.",1997,10.1016/s0031-0182(96)00136-8,"Palaeogeography, Palaeoclimatology, Palaeoecology",
lowry.etal1994,BOFS North Atlantic Data Set,"Lowry, R.","Machin, P.; Cramer, R.",1994,,,
lyle.etal2002,Patterns of CaCO3 Deposition in the Eastern Tropical Pacific Ocean for the Last 150 Kyr: Evidence for a Southeast Pacific Depositional Spike during Marine Isotope Stage (MIS) 2,"Lyle, M.","Mix, A.; Pisias, N.",2002,10.1029/2000pa000538,Paleoceanography,
lynch-stieglitz.etal2006,Meridional Overturning Circulation in the South Atlantic at the Last Glacial Maximum,"Lynch-Stieglitz, J.","Curry, W.; Oppo, D.; Ninneman, U.; Charles, C.; Munson, J.",2006,10.1029/2005GC001226,"Geochemistry, Geophysics, Geosystems",
lynch-stieglitz.etal2009,Florida Straits Density Structure and Transport over the Last 8000 Years,"Lynch-Stieglitz, J.","Curry, W.; Lund, D.",2009,10.1029/2008pa001717,Paleoceanography,
mackensen.etal1994,Benthic Foraminiferal Assemblages and the d13C-Signal in the Atlantic Sector of the Southern Ocean: Glacial-to-Interglacial Contrasts,"Mackensen, A.","Grobe, H.; Hubberten, H.-W.; Kuhn, G.",1994,10.1007/978-3-642-78737-9_6,,Carbon Cycling in the Glacial Ocean: Constraints on the Ocean's Role in Global Change
mackensen.etal2001,Late Pleistocene Deep-Water Circulation in the Subantarctic Eastern Atlantic,"Mackensen, A.","Rudolph, M.; Kuhn, G.",2001,10.1016/S0921-8181(01)00102-3,Global and Planetary Change,
martinez.etal2003,La Niña-like Conditions in the Eastern Equatorial Pacific and a Stronger Choco Jet in the Northern Andes during the Last Glaciation,"Martínez, I.","Keigwin, L.; Barrows, T.; Yokoyama, Y.; Southon, J.",2003,10.1029/2002pa000877,Paleoceanography,
martinson.etal1987,"Age Dating and the Orbital Theory of the Ice Ages: Development of a High-Resolution 0 to 300,000-Year Chronostratigraphy","Martinson, D.","Pisias, N.; Hays, J.; Imbrie, J.; Moore, T.; Shackleton, N.",1987,10.1016/0033-5894(87)90046-9,Quaternary Research,
max.etal2014,Pulses of Enhanced North Pacific Intermediate Water Ventilation from the Okhotsk Sea and Bering Sea during the Last Deglaciation,"Max, L.","Lembke-Jene, L.; Riethdorf, J.-R.; Tiedemann, R.; Nürnberg, D.; Kühn, H.; Mackensen, A.",2014,10.5194/cp-10-591-2014,Climate of the Past,
mccave.etal2005,Deep Flow in the Madagascar-Mascarene Basin over the Last 150000 Years,"McCave, I.","Kiefer, T.; Thornalley, D.; Elderfield, H.",2005,10.1098/rsta.2004.1480,"Philosophical Transactions of the Royal Society A: Mathematical, Physical and Engineering Sciences",
mccave.etal2008,Glacial- Interglacial Changes in Water Mass Structure and Flow in the SW Pacific Ocean,"McCave, I.","Carter, L.; Hall, I.",2008,10.1016/j.quascirev.2008.07.010,Quaternary Science Reviews,
mcintyre.etal1989,Surface Water Response of the Equatorial Atlantic Ocean to Orbital Forcing,"McIntyre, A.","Ruddiman, W.; Karlin, K.; Mix, A.",1989,10.1029/PA004i001p00019,Paleoceanography,
mcmanus.etal1999,A 0.5-Million-Year Record of Millennial-Scale Climate Variability in the North Atlantic,"McManus, J.","Oppo, D.; Cullen, J.",1999,10.1126/science.283.5404.971,Science,
millo.etal2008,Variability of the Denmark Strait Overflow during the Last Glacial Maximum,"Millo, C.","Sarnthein, M.; Voelker, A.; Erlenkeuser, H.",2008,10.1111/j.1502-3885.2006.tb01112.x,Boreas,
mix.etal1991,"Carbon 13 in Pacific Deep and Intermediate Waters, 0-370 Ka: Implications for Ocean Circulation and Pleistocene CO2","Mix, A.","Pisias, N.; Zahn, R.; Rugh, W.; Lopez, C.; Nelson, K.",1991,10.1029/90PA02303,Paleoceanography,
mix.etal1995,Benthic Foraminiferal Stable Isotope Stratigraphy of Site 846: 0-1.8 Ma,"Mix, A.","Le, J.; Shackleton, N.",1995,10.2973/odp.proc.sr.138.160.1995,,Proceedings of the Ocean Drilling Program Scientific Results
mix.etal2001,"Environmental Processes of the Ice Age: Land, Oceans, Glaciers (EPILOG)","Mix, A.","Bard, E.; Schneider, R.",2001,10.1016/S0277-3791(00)00145-1,Quaternary Science Reviews,
mix1986,Late Quaternary Paleoceanography of the Atlantic Ocean: Foraminiferal Faunal and Stable-Isotopic Evidence,"Mix, A.",,1986,,,
mollenhauer.etal2002,Glacial/Interglacial Variablity in the Benguela Upwelling System: Spatial Distribution and Budgets of Organic Carbon Accumulation,"Mollenhauer, G.","Schneider, R.; Müller, P.; Spiess, V.; Wefer, G.",2002,10.1029/2001GB001488,Global Biogeochemical Cycles,
